file_name,link
https:__electronicintifada.net_content_masafer-yattas-time-bombs-ticking-and-latent_38356.html,https://electronicintifada.net/content/masafer-yattas-time-bombs-ticking-and-latent/38356
https:__electronicintifada.net_content_deep-buried-bombs-imperil-gaza_38336.html,https://electronicintifada.net/content/deep-buried-bombs-imperil-gaza/38336
https:__electronicintifada.net_content_why-defend-supreme-court-has-formalized-discrimination_38306.html,https://electronicintifada.net/content/why-defend-supreme-court-has-formalized-discrimination/38306
https:__electronicintifada.net_content_gaza-industries-getting-back-their-feet-again_38286.html,https://electronicintifada.net/content/gaza-industries-getting-back-their-feet-again/38286
https:__electronicintifada.net_content_how-do-people-disabilities-cope-when-israel-bombs-gaza_38276.html,https://electronicintifada.net/content/how-do-people-disabilities-cope-when-israel-bombs-gaza/38276
https:__electronicintifada.net_content_palestine-pictures-july-2023_38271.html,https://electronicintifada.net/content/palestine-pictures-july-2023/38271
https:__electronicintifada.net_content_israel-blocks-tools-treating-gazas-kidney-patients_38261.html,https://electronicintifada.net/content/israel-blocks-tools-treating-gazas-kidney-patients/38261
https:__electronicintifada.net_content_israeli-policies-keep-dad-away-daughters-wedding_38256.html,https://electronicintifada.net/content/israeli-policies-keep-dad-away-daughters-wedding/38256
https:__electronicintifada.net_content_what-israel-hiding-about-death-gaza-worker-amin-warda_38236.html,https://electronicintifada.net/content/what-israel-hiding-about-death-gaza-worker-amin-warda/38236
https:__electronicintifada.net_content_flights-israel-wont-end-gazas-isolation_38201.html,https://electronicintifada.net/content/flights-israel-wont-end-gazas-isolation/38201
https:__electronicintifada.net_content_prisoners-are-alive-without-life_38196.html,https://electronicintifada.net/content/prisoners-are-alive-without-life/38196
